Kingdom,Phylum,Class,Order,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Chloroflexi,Dehalococcoidia,*Napoli-4B-65*,1000,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*Sh765B-TzT-20*,1000,0,0,0,0,0
Bacteria,Chloroflexi,Dehalococcoidia,*vadinBA26*,1000,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfobulbia,*Desulfobulbales*,1000,0,0,0,0,0
Bacteria,Desulfobacterota,Desulfuromonadia,*Bradymonadales*,1000,0,0,0,0,0
Bacteria,Elusimicrobiota,4-29,*4-29*,1000,0,0,0,0,0
Bacteria,Elusimicrobiota,Class of Elusimicrobiota,*Order* (*of*) Elusimicrobiota,1000,0,0,0,0,0
Bacteria,Elusimicrobiota,Elusimicrobia,*Order* (*of*) Elusimicrobia,1000,0,0,0,0,0
Bacteria,Firmicutes,Clostridia,*Clostridia*,1000,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,*FFCH16767*,1000,0,0,0,0,0
Bacteria,Myxococcota,Polyangia,*mle1-27*,1000,0,0,0,0,0
Bacteria,Nitrospinota,P9X2b3D02,*P9X2b3D02*,1000,0,0,0,0,0
Bacteria,Patescibacteria,ABY1,*Candidatus_Kerfeldbacteria*,1000,0,0,0,0,0
Bacteria,Patescibacteria,Gracilibacteria,*Order* (*of*) Gracilibacteria,1000,0,0,0,0,0
Bacteria,Patescibacteria,Microgenomatia,*Candidatus_Gottesmanbacteria*,1000,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Liptonbacteria*,1000,0,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,*Candidatus_Staskawiczbacteria*,1000,0,0,0,0,0
Bacteria,Planctomycetota,Phycisphaerae,*C86*,1000,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,*Sneathiellales*,1000,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*CCM19a*,1000,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,*Cardiobacteriales*,1000,0,0,0,0,0
