Kingdom,Phylum,Class,Order,Family,Sample.01,Sample.02,Sample.03,Sample.04,Sample.05,Sample.06
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,*LiUU-11-161*,0.14,0,0,0,0,0
Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,*Family* (*of*) Oligoflexales,0.13,0,0,0,0,0
Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,*Corynebacteriaceae*,0.03,0.03,0.02,0.02,0.02,0.02
Bacteria,Desulfobacterota,Class of Desulfobacterota,Order of Desulfobacterota,*Family* (*of*) Desulfobacterota,0.13,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,*Legionellaceae*,0.09,0.01,0.01,0,0,0
Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,*Family* (*of*) Ardenticatenales,0.11,0,0.01,0,0,0
Bacteria,Elusimicrobiota,Elusimicrobia,MVP-88,*MVP-88*,0.12,0,0,0,0,0
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,*Anaerolineaceae*,0.05,0.02,0.01,0.01,0.01,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,*Coxiellaceae*,0.09,0,0.01,0,0.01,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,*Family* (*of*) Rickettsiales,0.08,0.01,0.01,0,0,0
Bacteria,Acidobacteriota,Subgroup_22,Subgroup_22,*Subgroup_22*,0.1,0,0,0,0,0
Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,*cvE6*,0.07,0.02,0,0,0,0
Bacteria,Planctomycetota,Pla4_lineage,Pla4_lineage,*Pla4_lineage*,0.1,0,0,0,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,HglApr721,*HglApr721*,0.07,0.01,0,0,0.01,0.01
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*Family* (*of*) Woesearchaeales,0.07,0,0.01,0,0.01,0.01
Bacteria,Chloroflexi,OLB14,OLB14,*OLB14*,0.1,0,0,0,0,0
Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,*67-14*,0.08,0,0,0,0.01,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,*B1-7BS*,0.09,0,0,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Rhizobiales_Incertae_Sedis*,0.07,0,0,0,0.02,0
Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,*Dadabacteriales*,0.06,0.02,0.01,0,0.01,0
Bacteria,Planctomycetota,vadinHA49,vadinHA49,*vadinHA49*,0.08,0.01,0,0,0,0
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Yanofskybacteria,*Candidatus_Yanofskybacteria*,0.06,0.02,0,0,0,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*Family* (*of*) Rhizobiales,0.06,0.01,0,0,0,0
Archaea,Nanoarchaeota,Nanoarchaeia,Woesearchaeales,*SCGC_AAA286-E23*,0.05,0.01,0.01,0,0,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,*KF-JG30-B3*,0.06,0.02,0,0,0,0
